"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Register and checkout on AutomationExercise: Successful registration and product purchase","10","0","","0"
"0","","1","","0","0","","0"
